ID,AUFN,TOPIC
191701,Fratelli Alinari,
191702,Olivo Barbieri,
191736,"Bauer, Robert A.E."
191703,Antonio Beato,
191704,Felice Beato,
191705,Giacomo Brogi,
191706,Romano Cagnoni,(art,war,doc)
191737,"Caprioli"
191707,Ilario Carposio,
191708,Elio Ciol,(doc)
191709,Yvonne De Rosa,
191710,Adolfo Farsari,
191735,"Agnelli, Felice",
191711,Franco Fontana,(art)
191738,"Fumero, A."
191712,Piero Gemelli,
191713,Luigi Ghirri,
191714,Mario Giacomelli,
191715,Mimmo Jodice,(doc,land)
191716,Fosco Maraini,(ethno)
191717,Enrico Martino,(ethno,land,war)
191718,Tina Modotti,(art,doc,port)
191719,Ugo Mulas,(art,doc,port)
191720,Dianora Niccolini,(art)
191721,Giuseppe Palmas,
191722,Dino Pedriali,
191723,Secondo Pia,
191724,Felice Quinto,(celeb)
191725,Vittorio Sella,(land)
191726,Frederick Sommer,
191727,Oliviero Toscani,
191728,Luigi Veronesi,(abs,art,exp)
191729,Massimo Vitali,
191730,Vincenzo Laera,(art,doc,fash)